config_id,src,dst,size,repetition,duration_ns,duration_us
37,1,0,835132757,0,185980587.0,185980.587
37,1,0,835132757,1,186135533.0,186135.533
37,1,0,835132757,2,185131864.0,185131.864
37,1,0,835132757,3,185788711.0,185788.711
37,1,0,835132757,4,186376864.0,186376.864
38,1,0,954437290,0,212421132.0,212421.132
38,1,0,954437290,1,212852420.0,212852.42
38,1,0,954437290,2,212358092.0,212358.092
38,1,0,954437290,3,211602100.0,211602.1
38,1,0,954437290,4,211638968.0,211638.968
39,1,0,1073741824,0,238584248.0,238584.248
39,1,0,1073741824,1,238554082.0,238554.082
39,1,0,1073741824,2,237514516.0,237514.516
39,1,0,1073741824,3,238959679.0,238959.679
39,1,0,1073741824,4,239002126.0,239002.126
40,1,2,1024,0,8160.0,8.16
40,1,2,1024,1,6848.0,6.848
40,1,2,1024,2,6688.0,6.688
40,1,2,1024,3,6751.0,6.751
40,1,2,1024,4,7521.0,7.521
41,1,2,119305557,0,26512802.0,26512.802
41,1,2,119305557,1,26229471.0,26229.471
41,1,2,119305557,2,26248707.0,26248.707
41,1,2,119305557,3,26573560.0,26573.56
41,1,2,119305557,4,26289425.0,26289.425
42,1,2,238610090,0,52152936.0,52152.936
42,1,2,238610090,1,52788525.0,52788.525
42,1,2,238610090,2,52477905.0,52477.905
42,1,2,238610090,3,52649247.0,52649.247
42,1,2,238610090,4,53108514.0,53108.514
43,1,2,357914624,0,78971088.0,78971.088
43,1,2,357914624,1,79279204.0,79279.204
43,1,2,357914624,2,78942415.0,78942.415
43,1,2,357914624,3,78535116.0,78535.116
43,1,2,357914624,4,78785276.0,78785.276
44,1,2,477219157,0,105530814.0,105530.814
44,1,2,477219157,1,104985891.0,104985.891
44,1,2,477219157,2,105045208.0,105045.208
44,1,2,477219157,3,105444210.0,105444.21
44,1,2,477219157,4,105127995.0,105127.995
45,1,2,596523690,0,130494487.0,130494.487
45,1,2,596523690,1,130953314.0,130953.314
45,1,2,596523690,2,131069568.0,131069.568
45,1,2,596523690,3,131472366.00000001,131472.366
45,1,2,596523690,4,130819725.0,130819.725
46,1,2,715828224,0,156472034.0,156472.034
46,1,2,715828224,1,156251765.0,156251.765
46,1,2,715828224,2,158445705.0,158445.705
46,1,2,715828224,3,157680292.0,157680.292
46,1,2,715828224,4,157535453.0,157535.453
47,1,2,835132757,0,183482517.0,183482.517
47,1,2,835132757,1,183806076.0,183806.076
47,1,2,835132757,2,183534357.0,183534.357
47,1,2,835132757,3,182874665.0,182874.665
47,1,2,835132757,4,184508149.0,184508.149
48,1,2,954437290,0,209365662.0,209365.662
