timestamp_abs,elapsed_s,gpu_id,temperature,power,clock_graphics
1769083163.4761791,9450.583582639694,3,58.0,44.65,1590.0
1769083165.0878756,9452.195279121399,0,56.0,43.32,1590.0
1769083165.0878756,9452.195279121399,1,55.0,43.9,1590.0
1769083165.0878756,9452.195279121399,2,57.0,43.68,1590.0
1769083165.0878756,9452.195279121399,3,58.0,45.72,1590.0
1769083166.6433415,9453.75074505806,0,56.0,45.24,1590.0
1769083166.6433415,9453.75074505806,1,55.0,44.0,1590.0
1769083166.6433415,9453.75074505806,2,57.0,45.01,1590.0
1769083166.6433415,9453.75074505806,3,58.0,44.65,1590.0
1769083168.2334604,9455.3408639431,0,56.0,43.9,1590.0
1769083168.2334604,9455.3408639431,1,55.0,42.18,1590.0
1769083168.2334604,9455.3408639431,2,57.0,45.04,1590.0
1769083168.2334604,9455.3408639431,3,58.0,45.62,1590.0
1769083169.7910888,9456.898492336273,0,56.0,43.44,1590.0
1769083169.7910888,9456.898492336273,1,55.0,41.79,1590.0
1769083169.7910888,9456.898492336273,2,57.0,44.94,1590.0
1769083169.7910888,9456.898492336273,3,58.0,46.01,1590.0
1769083171.3617935,9458.469197034836,0,56.0,43.93,1590.0
1769083171.3617935,9458.469197034836,1,55.0,42.18,1590.0
1769083171.3617935,9458.469197034836,2,57.0,44.85,1590.0
1769083171.3617935,9458.469197034836,3,58.0,45.72,1590.0
1769083172.9782288,9460.085632324219,0,56.0,43.44,1590.0
1769083172.9782288,9460.085632324219,1,55.0,42.67,1590.0
1769083172.9782288,9460.085632324219,2,57.0,44.85,1590.0
1769083172.9782288,9460.085632324219,3,58.0,44.65,1590.0
1769083174.5889235,9461.696326971054,0,56.0,43.44,1590.0
1769083174.5889235,9461.696326971054,1,55.0,44.1,1590.0
1769083174.5889235,9461.696326971054,2,57.0,44.92,1590.0
1769083174.5889235,9461.696326971054,3,58.0,45.91,1590.0
1769083176.1732388,9463.280642271042,0,56.0,43.35,1590.0
1769083176.1732388,9463.280642271042,1,55.0,42.18,1590.0
1769083176.1732388,9463.280642271042,2,57.0,45.04,1590.0
1769083176.1732388,9463.280642271042,3,58.0,45.72,1590.0
1769083177.7926722,9464.900075674057,0,56.0,43.61,1590.0
1769083177.7926722,9464.900075674057,1,55.0,42.38,1590.0
1769083177.7926722,9464.900075674057,2,57.0,44.85,1590.0
1769083177.7926722,9464.900075674057,3,58.0,46.21,1590.0
1769083179.6137593,9466.72116279602,0,56.0,45.26,1590.0
1769083179.6137593,9466.72116279602,1,55.0,42.18,1590.0
1769083179.6137593,9466.72116279602,2,57.0,44.85,1590.0
1769083179.6137593,9466.72116279602,3,58.0,46.11,1590.0
1769083181.2150156,9468.322419166565,0,56.0,43.9,1590.0
1769083181.2150156,9468.322419166565,1,55.0,42.18,1590.0
1769083181.2150156,9468.322419166565,2,57.0,44.07,1590.0
1769083181.2150156,9468.322419166565,3,58.0,45.91,1590.0
1769083182.8158867,9469.923290252686,0,56.0,43.93,1590.0
1769083182.8158867,9469.923290252686,1,55.0,42.18,1590.0
1769083182.8158867,9469.923290252686,2,57.0,43.68,1590.0
1769083182.8158867,9469.923290252686,3,58.0,45.91,1590.0
1769083184.399814,9471.507217407227,0,56.0,43.32,1590.0
1769083184.399814,9471.507217407227,1,55.0,42.57,1590.0
1769083184.399814,9471.507217407227,2,57.0,44.94,1590.0
1769083184.399814,9471.507217407227,3,58.0,45.91,1590.0
1769083185.9836977,9473.091101169586,0,56.0,43.35,1590.0
1769083185.9836977,9473.091101169586,1,55.0,42.67,1590.0
1769083185.9836977,9473.091101169586,2,57.0,43.68,1590.0
1769083185.9836977,9473.091101169586,3,58.0,46.11,1590.0
1769083187.5875309,9474.694934368134,0,55.0,45.17,1590.0
1769083187.5875309,9474.694934368134,1,55.0,42.08,1590.0
1769083187.5875309,9474.694934368134,2,57.0,43.68,1590.0
1769083187.5875309,9474.694934368134,3,58.0,46.01,1590.0
1769083189.2083452,9476.315748691559,0,55.0,43.35,1590.0
1769083189.2083452,9476.315748691559,1,55.0,42.18,1590.0
1769083189.2083452,9476.315748691559,2,57.0,44.75,1590.0
1769083189.2083452,9476.315748691559,3,58.0,46.01,1590.0
1769083190.8580298,9477.965433359146,0,56.0,43.22,1590.0
1769083190.8580298,9477.965433359146,1,55.0,42.18,1590.0
1769083190.8580298,9477.965433359146,2,57.0,44.65,1590.0
1769083190.8580298,9477.965433359146,3,58.0,44.65,1590.0
1769083192.3999193,9479.507322788239,0,55.0,43.35,1590.0
1769083192.3999193,9479.507322788239,1,55.0,44.22,1590.0
1769083192.3999193,9479.507322788239,2,57.0,44.56,1590.0
1769083192.3999193,9479.507322788239,3,58.0,44.56,1590.0
1769083193.9779387,9481.085342168808,0,55.0,43.64,1590.0
1769083193.9779387,9481.085342168808,1,54.0,42.18,1590.0
1769083193.9779387,9481.085342168808,2,57.0,44.94,1590.0
1769083193.9779387,9481.085342168808,3,58.0,45.33,1590.0
1769083195.590218,9482.697621583939,0,55.0,43.35,1590.0
1769083195.590218,9482.697621583939,1,55.0,42.67,1590.0
1769083195.590218,9482.697621583939,2,57.0,45.04,1590.0
1769083195.590218,9482.697621583939,3,58.0,44.56,1590.0
1769083197.203896,9484.311299562454,0,56.0,43.9,1590.0
1769083197.203896,9484.311299562454,1,55.0,43.81,1590.0
1769083197.203896,9484.311299562454,2,57.0,43.59,1590.0
1769083197.203896,9484.311299562454,3,58.0,44.58,1590.0
1769083198.7827742,9485.890177726746,0,56.0,45.07,1590.0
1769083198.7827742,9485.890177726746,1,55.0,44.0,1590.0
1769083198.7827742,9485.890177726746,2,57.0,45.33,1590.0
1769083198.7827742,9485.890177726746,3,58.0,44.56,1590.0
1769083200.3326979,9487.440101385117,0,55.0,43.9,1590.0
1769083200.3326979,9487.440101385117,1,54.0,43.71,1590.0
1769083200.3326979,9487.440101385117,2,57.0,43.68,1590.0
1769083200.3326979,9487.440101385117,3,58.0,46.01,1590.0
1769083201.9272602,9489.034663677216,0,56.0,43.93,1590.0
1769083201.9272602,9489.034663677216,1,55.0,42.18,1590.0
1769083201.9272602,9489.034663677216,2,57.0,43.68,1590.0
1769083201.9272602,9489.034663677216,3,58.0,46.01,1590.0
1769083203.5263102,9490.633713722229,0,55.0,43.32,1590.0
1769083203.5263102,9490.633713722229,1,55.0,42.18,1590.0
1769083203.5263102,9490.633713722229,2,57.0,43.68,1590.0
1769083203.5263102,9490.633713722229,3,58.0,46.11,1590.0
1769083205.1098888,9492.217292308807,0,55.0,43.35,1590.0
1769083205.1098888,9492.217292308807,1,55.0,42.08,1590.0
1769083205.1098888,9492.217292308807,2,57.0,44.17,1590.0
1769083205.1098888,9492.217292308807,3,58.0,45.82,1590.0
1769083206.6743689,9493.781772375107,0,55.0,43.93,1590.0
1769083206.6743689,9493.781772375107,1,55.0,42.08,1590.0
1769083206.6743689,9493.781772375107,2,57.0,44.94,1590.0
