config_id,src,dst,size,elapsed_s,effective_bandwidth_gbps,num_repetitions,total_duration_s
118,1,3,128,5.468003893066406,17.50499165777741,10,7.312200000000001e-08
138,1,3,4096,6.25666075390625,476.90570167778594,10,8.5887e-08
156,1,3,268435456,6.567615516113281,4771.465405892063,10,0.0005625849359999999
161,1,3,32768,6.635598018066406,2287.7728983250836,10,1.43231e-07
168,1,3,262144,7.351644989013672,4752.868738770263,10,5.515490000000001e-07
212,1,3,134217728,8.530867476074219,4941.741161582955,10,0.000271600077
221,1,3,2,9.067757764892578,0.16604400166044003,10,1.2045e-07
239,1,3,1073741824,9.319443500976563,3263.135736610882,10,0.003290521482
248,1,3,2097152,9.789961673095704,4893.43948628443,10,4.2856399999999995e-06
252,1,3,16777216,9.8243450390625,2606.7802418079564,10,6.4359917e-05
255,1,3,64,9.835652831054688,8.787346221441124,10,7.283200000000001e-08
263,1,3,2048,9.970133114013672,270.2702702702703,10,7.577599999999999e-08
272,1,3,524288,10.011556010009766,4587.472404973798,10,1.142869e-06
278,1,3,1024,10.24673880493164,130.51069958323242,10,7.8461e-08
292,1,3,8388608,10.298231684082031,4709.844787950229,10,1.7810795e-05
296,1,3,4,10.310618799072266,0.5432346909673651,10,7.363300000000001e-08
310,1,3,4194304,10.644555912109375,354.02255262382425,10,0.000118475616
315,1,3,67108864,10.748252964111328,4930.97009951955,10,0.000136096676
358,1,3,32,11.552702653076173,4.372600194034134,10,7.3183e-08
361,1,3,16384,11.710522752929688,1478.0467121940658,10,1.10849e-07
22,2,0,1024,1.9463649150390625,43.95076141260494,10,2.32988e-07
62,2,0,4194304,2.7616252270507813,19.186148649332168,10,0.002186110447
68,2,0,128,2.9922068820800782,16.119891694477676,10,7.9405e-08
73,2,0,256,3.160237843017578,34.07109679651836,10,7.513699999999999e-08
75,2,0,32768,3.1657450451660156,1396.8140295237245,10,2.3459099999999999e-07
86,2,0,16,3.5012539860839844,2.005590583752209,10,7.9777e-08
101,2,0,134217728,3.5765609370117186,1712.2401473403634,10,0.0007838721
125,2,0,1,6.102840424072266,0.1310238201304997,10,7.6322e-08
135,2,0,512,6.241464425048828,8.237974488022758,10,6.215119999999999e-07
157,2,0,8,6.576268416992187,0.9861811368203055,10,8.1121e-08
172,2,0,536870912,7.365850622070313,1761.9658568242896,10,0.0030469995200000004
191,2,0,131072,7.76940662109375,1397.2801052394807,10,9.38051e-07
203,2,0,2097152,7.8775867121582035,914.8735840609075,10,2.2922861e-05
208,2,0,1073741824,7.917793965087891,1776.9611597016062,10,0.006042573402
214,2,0,65536,8.536653940185547,1684.2105263157896,10,3.8912e-07
228,2,0,4096,9.231011967041015,468.8537350335386,10,8.7362e-08
229,2,0,32,9.233161754150391,4.349717268377556,10,7.3568e-08
237,2,0,268435456,9.318193807128907,1748.208592496641,10,0.001535488712
240,2,0,2,9.47716668408203,0.2626119383387169,10,7.6158e-08
265,2,0,1048576,9.999234505126953,1660.9236822472246,10,6.31321e-06
270,2,0,524288,10.086117104003906,1766.8422540745635,10,2.967373e-06
271,2,0,16777216,10.088731833984374,1751.2515567248465,10,9.580129099999999e-05
275,2,0,67108864,10.180587907958984,1028.2234053584993,10,0.0006526681230000001
295,2,0,4,10.3093674140625,0.5068873316183645,10,7.8913e-08
297,2,0,2048,10.313009428955079,283.3072804991077,10,7.2289e-08
300,2,0,262144,10.321599490966797,1772.6997316714273,10,1.4787840000000001e-06
